1,ANTIOQUIA,2021-01-15 20:38:11,2021-01-15 20:38:11
2,ATLANTICO,2021-01-16 20:38:11,2021-01-16 20:38:11
3,BOGOTA,2021-01-17 20:38:11,2021-01-17 20:38:11
4,BOLIVAR,2021-01-18 20:38:11,2021-01-18 20:38:11
5,BOYACA,2021-01-19 20:38:11,2021-01-19 20:38:11
6,CALDAS,2021-01-20 20:38:11,2021-01-20 20:38:11
7,CAQUETA,2021-01-21 20:38:11,2021-01-21 20:38:11
8,CAUCA,2021-01-22 20:38:11,2021-01-22 20:38:11
9,CESAR,2021-01-23 20:38:11,2021-01-23 20:38:11
10,CORDOBA,2021-01-24 20:38:11,2021-01-24 20:38:11
11,CUNDINAMARCA,2021-01-25 20:38:11,2021-01-25 20:38:11
12,CHOCO,2021-01-26 20:38:11,2021-01-26 20:38:11
13,HUILA,2021-01-27 20:38:11,2021-01-27 20:38:11
14,LA GUAJIRA,2021-01-28 20:38:11,2021-01-28 20:38:11
15,MAGDALENA,2021-01-29 20:38:11,2021-01-29 20:38:11
16,META,2021-01-30 20:38:11,2021-01-30 20:38:11
17,NARIÑO,2021-01-31 20:38:11,2021-01-31 20:38:11
18,NORTE DE SANTANDER,2021-02-01 20:38:11,2021-02-01 20:38:11
19,QUINDIO,2021-02-02 20:38:11,2021-02-02 20:38:11
20,RISARALDA,2021-02-03 20:38:11,2021-02-03 20:38:11
21,SANTANDER,2021-02-04 20:38:11,2021-02-04 20:38:11
22,SUCRE,2021-02-05 20:38:11,2021-02-05 20:38:11
23,TOLIMA,2021-02-06 20:38:11,2021-02-06 20:38:11
24,VALLE DEL CAUCA,2021-02-07 20:38:11,2021-02-07 20:38:11
25,ARAUCA,2021-02-08 20:38:11,2021-02-08 20:38:11
26,CASANARE,2021-02-09 20:38:11,2021-02-09 20:38:11
27,PUTUMAYO,2021-02-10 20:38:11,2021-02-10 20:38:11
28,SAN ANDRES,2021-02-11 20:38:11,2021-02-11 20:38:11
29,AMAZONAS,2021-02-12 20:38:11,2021-02-12 20:38:11
30,GUAINIA,2021-02-13 20:38:11,2021-02-13 20:38:11
31,GUAVIARE,2021-02-14 20:38:11,2021-02-14 20:38:11
32,VAUPES,2021-02-15 20:38:11,2021-02-15 20:38:11
33,VICHADA,2021-02-16 20:38:11,2021-02-16 20:38:11
